LocationID,LocationName,Latitude,Longitude,Temperature,SurfaceType,NDVI,TrafficDensity,Time,Red,NIR,Calculated_NDVI
1,Chittagong Site 1,22.33626,91.75669,30.2,Asphalt,0.33,Medium,Afternoon,0.1,0.1985074626865672,0.33
2,Chittagong Site 2,22.36297,91.79568,27.8,Vegetation,0.7,Low,Afternoon,0.1,0.5666666666666667,0.7000000000000001
3,Chittagong Site 3,22.3379,91.77145,32.8,Concrete,0.07,High,Afternoon,0.1,0.11505376344086024,0.07000000000000008
4,Chittagong Site 4,22.35282,91.77067,29.6,Bare Soil,0.44,Medium,Afternoon,0.1,0.2571428571428571,0.43999999999999995
5,Chittagong Site 5,22.34888,91.78056,29.1,Bare Soil,0.51,Low,Afternoon,0.1,0.3081632653061225,0.51
6,Chittagong Site 6,22.33888,91.78405,27.8,Vegetation,0.64,Low,Afternoon,0.1,0.45555555555555566,0.64
7,Chittagong Site 7,22.33713,91.7571,29.5,Bare Soil,0.49,Medium,Afternoon,0.1,0.292156862745098,0.48999999999999994
8,Chittagong Site 8,22.38484,91.8017,26.9,Vegetation,0.76,Low,Afternoon,0.1,0.7333333333333334,0.76
9,Chittagong Site 9,22.35331,91.76052,31.4,Asphalt,0.28,Medium,Afternoon,0.1,0.17777777777777778,0.27999999999999997
10,Chittagong Site 10,22.32896,91.80776,29.7,Bare Soil,0.42,Medium,Afternoon,0.1,0.2448275862068965,0.41999999999999993
11,Chittagong Site 11,22.3581,91.786,30.9,Asphalt,0.24,High,Afternoon,0.1,0.1631578947368421,0.23999999999999996
12,Chittagong Site 12,22.38508,91.79971,32.5,Concrete,0.19,High,Afternoon,0.1,0.14691358024691356,0.18999999999999992
13,Chittagong Site 13,22.38221,91.75851,27.3,Vegetation,0.75,Low,Afternoon,0.1,0.7000000000000001,0.7500000000000001
14,Chittagong Site 14,22.32961,91.77272,32.4,Concrete,0.2,High,Afternoon,0.1,0.15,0.19999999999999996
15,Chittagong Site 15,22.34831,91.77006,31.1,Asphalt,0.34,Medium,Afternoon,0.1,0.20303030303030306,0.34
