LocationID,LocationName,Latitude,Longitude,Temperature,SurfaceType,NDVI,TrafficDensity,Time,Red,NIR,Calculated_NDVI
1,Dhaka_all Site 1,23.78966,90.38599,30.8,Asphalt,0.33,Medium,Afternoon,0.1,0.1985074626865672,0.33
2,Dhaka_all Site 2,23.81637,90.42498,28.0,Vegetation,0.7,Low,Afternoon,0.1,0.5666666666666667,0.7000000000000001
3,Dhaka_all Site 3,23.7913,90.40075,33.6,Concrete,0.07,High,Afternoon,0.1,0.11505376344086024,0.07000000000000008
4,Dhaka_all Site 4,23.80622,90.39997,30.0,Bare Soil,0.44,Medium,Afternoon,0.1,0.2571428571428571,0.43999999999999995
5,Dhaka_all Site 5,23.80228,90.40986,29.5,Bare Soil,0.51,Low,Afternoon,0.1,0.3081632653061225,0.51
6,Dhaka_all Site 6,23.79228,90.41335,28.1,Vegetation,0.64,Low,Afternoon,0.1,0.45555555555555566,0.64
7,Dhaka_all Site 7,23.79053,90.3864,29.9,Bare Soil,0.49,Medium,Afternoon,0.1,0.292156862745098,0.48999999999999994
8,Dhaka_all Site 8,23.83824,90.431,27.0,Vegetation,0.76,Low,Afternoon,0.1,0.7333333333333334,0.76
9,Dhaka_all Site 9,23.80671,90.38982,32.0,Asphalt,0.28,Medium,Afternoon,0.1,0.17777777777777778,0.27999999999999997
10,Dhaka_all Site 10,23.78236,90.43706,30.2,Bare Soil,0.42,Medium,Afternoon,0.1,0.2448275862068965,0.41999999999999993
11,Dhaka_all Site 11,23.8115,90.4153,31.5,Asphalt,0.24,High,Afternoon,0.1,0.1631578947368421,0.23999999999999996
12,Dhaka_all Site 12,23.83848,90.42901,33.3,Concrete,0.19,High,Afternoon,0.1,0.14691358024691356,0.18999999999999992
13,Dhaka_all Site 13,23.83561,90.38781,27.4,Vegetation,0.75,Low,Afternoon,0.1,0.7000000000000001,0.7500000000000001
14,Dhaka_all Site 14,23.78301,90.40202,33.1,Concrete,0.2,High,Afternoon,0.1,0.15,0.19999999999999996
15,Dhaka_all Site 15,23.80171,90.39936,31.6,Asphalt,0.34,Medium,Afternoon,0.1,0.20303030303030306,0.34
