LocationName,Latitude,Longitude,EstimatedTemp,Image,Temperature,SurfaceType,NDVI,TrafficDensity,Time,Red,NIR,Calculated_NDVI
Bup,23.840041,90.356985,29-32,BUP.jpeg,30.5,Mixed,0.4,Medium,Afternoon,0.1,0.2333333333333333,0.3999999999999999
Mirpur DOHS,23.837618,90.369976,27-32,"Mirpur DOHS,23.837618,90.369976,27-32.jpeg",29.5,Vegetation,0.6,Low,Afternoon,0.1,0.4000000000000001,0.6
Mirpur-12 Metrorail station,23.826606,90.364136,30-35,"Mirpur-12 Metrorail station, 23.826606,90.364136,30-35.jpeg",32.5,Concrete,0.1,High,Afternoon,0.1,0.12222222222222223,0.1
Mirpur Ceramic Works,23.829668,90.364136,30-35,"Mirpur Ceramic Works,23.829668,90.364136,30-35.jpeg",32.5,Concrete,0.1,High,Afternoon,0.1,0.12222222222222223,0.1
DSCSC Mosque,23.832327,90.361856,26-29,"DSCSC Mosque,23.832327,90.361856,26-29.jpeg",27.5,Vegetation,0.7,Low,Afternoon,0.1,0.5666666666666667,0.7000000000000001
Mirpur Ceramic Road,23.828006,90.364146,29-33,"Mirpur Ceramic Road,23.828006,90.364146,29-33.jpeg",31.0,Asphalt,0.2,Medium,Afternoon,0.1,0.15,0.19999999999999996
BRTC Mirpur Bus Depot,23.829032,90.364681,28-30,"BRTC Mirpur Bus Depot, 23.829032,90.364681,28-30.jpeg",29.0,Concrete,0.3,High,Afternoon,0.1,0.18571428571428572,0.30000000000000004
Baitus Salam Jaame Masjid Complex,23.8272778,90.365802,28-29,"Baitus Salam Jaame Masjid Complex,23.8272778,90,365802,28-29.jpeg",28.5,Mixed,0.5,Medium,Afternoon,0.1,0.30000000000000004,0.5000000000000001
Mirpur-12 Kids Park,23.830892,90.361812,26-27,"Mirpur-12 Kids Park,23.830892,90.361812,26-27.jpeg",26.5,Vegetation,0.8,Low,Afternoon,0.1,0.9000000000000004,0.8
EM Engineering and Builders,23.829845,90.362474,28-31,"EM Engineering and Builders,23.829845,90.362474,28-31.jpeg",29.5,Mixed,0.4,Low,Afternoon,0.1,0.2333333333333333,0.3999999999999999
Wapda Colony (Mirpur Cantonment),23.831141,90.360741,26-27,"Wapda Colony (Mirpur Cantonment),23.831141,90.360741,26-27.jpeg",26.5,Vegetation,0.8,Low,Afternoon,0.1,0.9000000000000004,0.8
Mirpur Cant. Public School and College,23.834756,90.364835,28-29,"Mirpur Cant. Public School and College,23.834756,90364835,28-29.jpeg",28.5,Mixed,0.5,Low,Afternoon,0.1,0.30000000000000004,0.5000000000000001
College Avenue Road,23.832734,90.360698,29-32,College Avenue.jpeg,30.5,Asphalt,0.3,Medium,Afternoon,0.1,0.18571428571428572,0.30000000000000004
Pallabi Mazedul Islam Model High School,23.825788,90.361466,30-32,"Pallabi Mazedul Islam Model High School,23.825788,90.361466,30-32.jpeg",31.0,Concrete,0.2,Medium,Afternoon,0.1,0.15,0.19999999999999996
Pallabi Jheel,23.82923,90.35709,28-29,"Pallabi Jheel,23.829230,90.357090,28-29.jpeg",28.5,Water Body,0.6,Low,Afternoon,0.1,0.4000000000000001,0.6
Staff College Lake,23.833785,90.35733,29-30,"Staff College Lake,23.833785,90.35733,29-30.jpeg",29.5,Water Body,0.5,Low,Afternoon,0.1,0.30000000000000004,0.5000000000000001
Lake View Eastern Housing,23.842388,90.354981,27-30,"Lake View Eastern Housing,23.842388,90.354981,27-30.jpeg",28.5,Mixed,0.6,Low,Afternoon,0.1,0.4000000000000001,0.6
Efficient Power House,23.840758,90.354528,29-32,"Efficient Power House,23.840758,90.354528,29-32.jpeg",30.5,Concrete,0.2,High,Afternoon,0.1,0.15,0.19999999999999996
Crown Machinery Warehouse,23.841017,90.353494,30-32,"Crown Machinery Warehouse,23.841017,90.353494,30-32.jpeg",31.0,Concrete,0.1,High,Afternoon,0.1,0.12222222222222223,0.1
Alubdi,23.835977,90.35146,28-30,"Alubdi,23.835977,90.351460,28-30.jpeg",29.0,Mixed,0.4,Low,Afternoon,0.1,0.2333333333333333,0.3999999999999999
