date,max_temp_C,min_temp_C,mean_temp_C
2019-12-31 18:00:00,25.6,14.1,19.410418
2020-01-01 18:00:00,26.2,15.2,20.293753
2020-01-02 18:00:00,21.25,16.25,18.039585
2020-01-03 18:00:00,22.4,15.0,17.689583
2020-01-04 18:00:00,20.95,14.05,17.050001
2020-01-05 18:00:00,21.2,11.95,15.887501
2020-01-06 18:00:00,21.25,10.7,15.4104185
2020-01-07 18:00:00,22.2,11.05,16.206251
2020-01-08 18:00:00,21.65,15.35,17.843748
2020-01-09 18:00:00,22.85,12.9,17.389582
2020-01-10 18:00:00,21.9,12.45,16.627085
2020-01-11 18:00:00,22.75,13.05,16.887499
2020-01-12 18:00:00,22.4,12.05,16.274998
2020-01-13 18:00:00,23.25,12.1,17.133333
2020-01-14 18:00:00,24.3,12.3,17.672916
2020-01-15 18:00:00,25.45,13.3,18.725
2020-01-16 18:00:00,27.0,14.45,19.764585
2020-01-17 18:00:00,26.7,14.5,19.918749
2020-01-18 18:00:00,26.6,15.0,20.716665
2020-01-19 18:00:00,23.0,13.45,18.243752
2020-01-20 18:00:00,22.3,11.05,15.958335
2020-01-21 18:00:00,23.15,10.65,16.706251
2020-01-22 18:00:00,20.15,12.55,16.00625
2020-01-23 18:00:00,22.55,12.3,16.529165
2020-01-24 18:00:00,22.3,10.0,15.527083
2020-01-25 18:00:00,22.1,10.5,15.720834
2020-01-26 18:00:00,22.75,11.85,16.585417
2020-01-27 18:00:00,23.6,11.05,17.804167
2020-01-28 18:00:00,22.5,14.05,17.818748
2020-01-29 18:00:00,24.5,15.75,19.141666
2020-01-30 18:00:00,24.7,15.0,18.954168
2020-01-31 18:00:00,24.1,11.9,17.468752
2020-02-01 18:00:00,22.7,11.6,16.5
2020-02-02 18:00:00,22.8,9.8,15.875001
2020-02-03 18:00:00,23.6,10.0,16.645832
2020-02-04 18:00:00,24.55,14.15,19.054167
2020-02-05 18:00:00,25.35,12.8,18.7625
2020-02-06 18:00:00,24.3,12.95,18.883333
2020-02-07 18:00:00,23.1,13.5,18.920835
2020-02-08 18:00:00,25.95,14.6,19.787498
2020-02-09 18:00:00,25.6,13.6,18.927084
2020-02-10 18:00:00,25.85,12.75,18.793749
2020-02-11 18:00:00,26.2,13.55,19.214584
2020-02-12 18:00:00,25.85,11.9,18.627085
2020-02-13 18:00:00,26.3,13.7,20.245832
2020-02-14 18:00:00,27.75,16.8,21.629168
2020-02-15 18:00:00,27.7,15.6,20.993752
2020-02-16 18:00:00,28.0,14.8,20.88125
2020-02-17 18:00:00,27.85,15.25,21.939585
2020-02-18 18:00:00,27.95,14.7,22.106253
2020-02-19 18:00:00,28.0,15.8,21.69792
2020-02-20 18:00:00,29.5,15.85,22.2125
2020-02-21 18:00:00,29.8,15.4,22.608332
2020-02-22 18:00:00,30.3,16.35,22.887497
2020-02-23 18:00:00,29.3,16.85,23.002083
2020-02-24 18:00:00,26.45,17.45,20.820833
2020-02-25 18:00:00,25.25,15.95,20.120832
2020-02-26 18:00:00,25.6,16.55,20.564585
2020-02-27 18:00:00,28.1,15.05,21.19375
2020-02-28 18:00:00,29.1,15.05,21.695837
2020-02-29 18:00:00,30.35,16.2,23.01042
2020-03-01 18:00:00,30.45,18.35,24.327085
2020-03-02 18:00:00,29.35,19.1,23.93125
2020-03-03 18:00:00,28.3,19.3,23.131248
2020-03-04 18:00:00,28.5,18.5,23.697916
2020-03-05 18:00:00,25.9,19.0,22.670832
2020-03-06 18:00:00,24.9,19.25,21.766668
2020-03-07 18:00:00,28.2,18.85,22.406252
2020-03-08 18:00:00,28.6,17.45,22.36042
2020-03-09 18:00:00,29.25,15.65,22.112501
2020-03-10 18:00:00,30.15,17.85,24.116669
2020-03-11 18:00:00,32.15,20.3,26.206251
2020-03-12 18:00:00,33.8,20.6,27.052084
2020-03-13 18:00:00,34.1,21.4,26.897917
2020-03-14 18:00:00,31.95,19.8,25.312498
2020-03-15 18:00:00,32.3,20.1,25.829165
2020-03-16 18:00:00,31.75,19.45,25.579168
2020-03-17 18:00:00,31.65,20.25,25.6625
2020-03-18 18:00:00,32.0,18.2,25.279167
2020-03-19 18:00:00,29.65,21.15,25.520834
2020-03-20 18:00:00,31.7,19.8,25.958336
2020-03-21 18:00:00,29.35,19.75,24.385414
2020-03-22 18:00:00,29.8,18.8,24.518751
2020-03-23 18:00:00,30.7,20.4,25.477083
2020-03-24 18:00:00,32.9,20.3,27.30625
2020-03-25 18:00:00,34.4,21.25,28.372915
2020-03-26 18:00:00,36.6,21.75,29.079168
2020-03-27 18:00:00,36.35,21.75,29.36458
2020-03-28 18:00:00,35.15,22.5,28.493752
2020-03-29 18:00:00,34.8,19.8,27.708334
2020-03-30 18:00:00,35.0,19.4,27.312502
2020-03-31 18:00:00,35.6,19.65,27.98958
2020-04-01 18:00:00,36.0,23.7,29.131248
2020-04-02 18:00:00,36.7,24.65,29.106249
2020-04-03 18:00:00,35.7,22.75,28.704168
2020-04-04 18:00:00,35.15,23.7,28.406252
2020-04-05 18:00:00,35.55,23.9,29.20208
2020-04-06 18:00:00,37.45,24.0,30.289581
2020-04-07 18:00:00,35.0,24.5,29.083334
2020-04-08 18:00:00,35.1,24.0,28.8375
2020-04-09 18:00:00,35.4,22.45,29.260414
2020-04-10 18:00:00,35.05,24.05,29.122915
2020-04-11 18:00:00,34.5,21.45,27.279165
2020-04-12 18:00:00,34.45,22.65,28.731247
2020-04-13 18:00:00,34.65,24.2,29.512497
2020-04-14 18:00:00,34.2,23.6,28.158333
2020-04-15 18:00:00,33.25,22.65,28.206251
2020-04-16 18:00:00,33.4,22.3,27.087503
2020-04-17 18:00:00,33.1,23.7,26.854164
2020-04-18 18:00:00,34.15,23.25,28.372915
2020-04-19 18:00:00,33.55,22.85,27.887499
2020-04-20 18:00:00,31.4,22.3,25.766665
2020-04-21 18:00:00,28.4,21.55,24.920832
2020-04-22 18:00:00,28.2,22.45,24.770834
2020-04-23 18:00:00,29.0,22.85,24.660414
2020-04-24 18:00:00,28.4,21.95,24.539583
2020-04-25 18:00:00,28.4,21.75,24.777079
2020-04-26 18:00:00,30.1,21.4,25.562502
2020-04-27 18:00:00,28.3,22.6,24.652082
2020-04-28 18:00:00,27.7,21.75,24.779167
2020-04-29 18:00:00,29.25,21.8,25.545832
2020-04-30 18:00:00,29.0,23.0,25.760416
2020-05-01 18:00:00,28.65,22.7,25.65
2020-05-02 18:00:00,29.3,22.35,25.74792
2020-05-03 18:00:00,30.45,23.35,27.135416
2020-05-04 18:00:00,31.75,24.9,28.183332
2020-05-05 18:00:00,30.65,24.15,26.995834
2020-05-06 18:00:00,32.35,22.65,27.454168
2020-05-07 18:00:00,31.7,22.4,27.295832
2020-05-08 18:00:00,32.2,24.45,28.191668
2020-05-09 18:00:00,32.6,24.75,28.658333
2020-05-10 18:00:00,33.35,26.2,29.466665
2020-05-11 18:00:00,33.9,26.25,29.752083
2020-05-12 18:00:00,32.15,24.15,28.397919
2020-05-13 18:00:00,32.55,24.3,28.574997
2020-05-14 18:00:00,31.0,26.1,27.762503
2020-05-15 18:00:00,34.0,25.55,29.627085
2020-05-16 18:00:00,33.9,25.55,29.75625
2020-05-17 18:00:00,33.85,25.85,29.575003
2020-05-18 18:00:00,30.3,25.95,28.060415
2020-05-19 18:00:00,30.4,24.05,26.9375
2020-05-20 18:00:00,30.15,25.8,27.191666
2020-05-21 18:00:00,31.4,24.5,27.560415
2020-05-22 18:00:00,32.6,26.45,29.36667
2020-05-23 18:00:00,32.9,26.0,28.993746
2020-05-24 18:00:00,32.35,27.1,29.335419
2020-05-25 18:00:00,33.0,27.05,29.170832
2020-05-26 18:00:00,31.65,24.8,27.756248
2020-05-27 18:00:00,29.8,22.6,26.52083
2020-05-28 18:00:00,29.55,23.55,26.031248
2020-05-29 18:00:00,29.95,23.0,26.720835
2020-05-30 18:00:00,31.4,25.2,27.954168
2020-05-31 18:00:00,31.9,25.15,28.481253
2020-06-01 18:00:00,31.8,26.5,28.59375
2020-06-02 18:00:00,29.55,26.55,27.872917
2020-06-03 18:00:00,30.35,26.3,27.902082
2020-06-04 18:00:00,32.15,26.1,28.595835
2020-06-05 18:00:00,30.25,27.05,28.397919
2020-06-06 18:00:00,32.2,25.8,28.685417
2020-06-07 18:00:00,31.9,26.35,28.658335
2020-06-08 18:00:00,33.0,26.2,29.88959
2020-06-09 18:00:00,31.15,27.0,28.597918
2020-06-10 18:00:00,30.95,25.75,27.839582
2020-06-11 18:00:00,29.8,25.85,27.40625
2020-06-12 18:00:00,29.75,26.15,27.460417
2020-06-13 18:00:00,31.1,25.85,28.327085
2020-06-14 18:00:00,30.55,26.5,28.102083
2020-06-15 18:00:00,31.4,26.25,27.945833
2020-06-16 18:00:00,27.4,25.55,26.362501
2020-06-17 18:00:00,30.5,25.6,27.21667
2020-06-18 18:00:00,29.6,25.4,27.093752
2020-06-19 18:00:00,30.35,26.15,28.329163
2020-06-20 18:00:00,31.3,25.95,27.724998
2020-06-21 18:00:00,31.1,25.8,28.295832
2020-06-22 18:00:00,31.35,26.5,28.554169
2020-06-23 18:00:00,32.85,26.65,29.331253
2020-06-24 18:00:00,33.1,27.05,29.635424
2020-06-25 18:00:00,31.75,27.05,29.133333
2020-06-26 18:00:00,29.3,26.8,27.97917
2020-06-27 18:00:00,30.05,25.55,27.054169
2020-06-28 18:00:00,30.3,25.85,27.633333
2020-06-29 18:00:00,31.5,25.95,28.331253
2020-06-30 18:00:00,32.4,26.3,29.020836
2020-07-01 18:00:00,32.1,27.05,29.366667
2020-07-02 18:00:00,32.85,26.9,29.606245
2020-07-03 18:00:00,30.75,27.1,28.543749
2020-07-04 18:00:00,29.8,26.2,27.535416
2020-07-05 18:00:00,30.95,26.0,27.958334
2020-07-06 18:00:00,31.45,26.5,28.393751
2020-07-07 18:00:00,30.65,26.0,28.491667
2020-07-08 18:00:00,31.15,25.9,28.300001
2020-07-09 18:00:00,30.9,26.1,28.59375
2020-07-10 18:00:00,29.6,26.65,27.810417
2020-07-11 18:00:00,30.4,25.45,27.135416
2020-07-12 18:00:00,30.65,25.7,27.68125
2020-07-13 18:00:00,30.2,25.7,27.993752
2020-07-14 18:00:00,31.85,26.4,28.385414
2020-07-15 18:00:00,32.0,26.0,28.754166
2020-07-16 18:00:00,32.4,26.4,28.752083
2020-07-17 18:00:00,31.8,26.85,28.795835
2020-07-18 18:00:00,32.35,26.7,28.975
