LocationID,LocationName,Latitude,Longitude,SurfaceType,TrafficDensity,Observation_Time,max_temp_C,min_temp_C,mean_temp_C,humidity_pct,rainfall_mm,wind_speed_kmh,source,heat_index_C
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-01-01 12:30:00,27.64,16.86,21.8,76.09,0.0,3.31,NASA POWER & Microclimate Model,30.71
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-01-02 12:30:00,27.83,16.19,21.78,79.37,0.01,4.1,NASA POWER & Microclimate Model,31.59
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-01-03 12:30:00,21.92,17.12,19.21,92.62,36.36,4.03,NASA POWER & Microclimate Model,22.59
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-01-04 12:30:00,24.76,15.81,20.08,83.94,2.04,3.71,NASA POWER & Microclimate Model,25.48
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-01-05 12:30:00,23.46,14.83,18.5,87.04,6.46,5.62,NASA POWER & Microclimate Model,24.13
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-01-06 12:30:00,21.96,11.03,16.18,82.37,0.07,6.26,NASA POWER & Microclimate Model,22.36
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-01-07 12:30:00,23.16,10.04,16.05,80.92,0.14,5.36,NASA POWER & Microclimate Model,23.64
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-01-08 12:30:00,23.11,12.14,17.19,79.3,0.0,4.32,NASA POWER & Microclimate Model,23.55
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-01-09 12:30:00,22.92,13.3,17.59,83.58,0.86,4.54,NASA POWER & Microclimate Model,23.45
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-01-10 12:30:00,23.69,13.92,18.22,84.86,0.36,5.69,NASA POWER & Microclimate Model,24.33
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-01-11 12:30:00,22.42,11.8,16.6,87.0,0.51,7.38,NASA POWER & Microclimate Model,22.99
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-01-12 12:30:00,23.68,11.77,16.89,85.49,0.0,7.02,NASA POWER & Microclimate Model,24.34
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-01-13 12:30:00,23.53,10.96,16.87,82.49,0.0,4.61,NASA POWER & Microclimate Model,24.09
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-01-14 12:30:00,23.9,11.72,17.88,80.69,0.0,3.82,NASA POWER & Microclimate Model,24.45
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-01-15 12:30:00,24.9,13.57,18.9,82.49,0.0,4.28,NASA POWER & Microclimate Model,25.6
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-01-16 12:30:00,26.92,13.79,20.38,76.55,0.0,3.96,NASA POWER & Microclimate Model,29.26
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-01-17 12:30:00,28.25,14.99,21.49,76.71,0.0,4.03,NASA POWER & Microclimate Model,32.19
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-01-18 12:30:00,28.93,16.53,21.93,74.29,0.0,3.71,NASA POWER & Microclimate Model,33.38
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-01-19 12:30:00,27.96,16.95,21.46,79.35,0.0,5.54,NASA POWER & Microclimate Model,31.9
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-01-20 12:30:00,23.46,13.96,18.07,82.38,0.0,7.42,NASA POWER & Microclimate Model,24.01
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-01-21 12:30:00,22.67,10.85,16.58,74.12,0.0,5.8,NASA POWER & Microclimate Model,22.93
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-01-22 12:30:00,23.35,10.42,16.62,72.5,0.0,5.65,NASA POWER & Microclimate Model,23.63
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-01-23 12:30:00,24.17,12.61,17.71,74.24,0.0,5.0,NASA POWER & Microclimate Model,24.58
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-01-24 12:30:00,23.35,12.39,16.86,72.46,0.0,4.9,NASA POWER & Microclimate Model,23.63
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-01-25 12:30:00,23.9,11.44,17.01,67.91,0.0,4.28,NASA POWER & Microclimate Model,24.12
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-01-26 12:30:00,22.91,11.74,16.61,72.4,0.0,5.4,NASA POWER & Microclimate Model,23.15
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-01-27 12:30:00,22.99,11.83,17.22,71.99,0.0,4.54,NASA POWER & Microclimate Model,23.22
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-01-28 12:30:00,24.89,11.82,18.76,69.81,0.0,4.0,NASA POWER & Microclimate Model,25.26
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-01-29 12:30:00,23.93,15.25,18.68,74.14,0.28,3.56,NASA POWER & Microclimate Model,24.31
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-01-30 12:30:00,25.6,13.93,19.66,78.08,0.27,3.67,NASA POWER & Microclimate Model,26.25
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-01-31 12:30:00,25.49,15.57,19.73,79.75,1.45,5.33,NASA POWER & Microclimate Model,26.18
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-02-01 12:30:00,25.03,12.83,18.4,70.52,0.0,5.04,NASA POWER & Microclimate Model,25.43
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-02-02 12:30:00,24.54,12.25,18.16,66.06,0.0,6.26,NASA POWER & Microclimate Model,24.77
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-02-03 12:30:00,23.36,11.52,16.66,65.35,0.0,5.72,NASA POWER & Microclimate Model,23.46
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-02-04 12:30:00,24.67,10.38,17.02,66.55,0.0,6.08,NASA POWER & Microclimate Model,24.93
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-02-05 12:30:00,24.91,11.81,18.13,67.04,0.0,5.83,NASA POWER & Microclimate Model,25.21
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-02-06 12:30:00,26.11,12.97,18.95,65.11,0.0,5.65,NASA POWER & Microclimate Model,26.48
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-02-07 12:30:00,26.18,12.71,18.94,62.57,0.0,4.97,NASA POWER & Microclimate Model,26.49
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-02-08 12:30:00,26.47,12.86,19.37,65.42,0.01,5.4,NASA POWER & Microclimate Model,27.74
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-02-09 12:30:00,27.41,15.08,19.76,68.29,0.03,7.42,NASA POWER & Microclimate Model,29.39
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-02-10 12:30:00,26.04,10.88,17.92,63.85,0.09,6.52,NASA POWER & Microclimate Model,26.37
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-02-11 12:30:00,26.28,11.77,18.44,63.87,0.0,6.48,NASA POWER & Microclimate Model,26.63
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-02-12 12:30:00,26.6,11.14,18.45,61.96,0.0,7.27,NASA POWER & Microclimate Model,27.71
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-02-13 12:30:00,27.11,12.2,19.28,56.96,0.0,5.47,NASA POWER & Microclimate Model,28.0
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-02-14 12:30:00,27.51,13.84,20.45,63.42,0.0,5.58,NASA POWER & Microclimate Model,29.07
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-02-15 12:30:00,28.5,15.41,21.61,75.77,0.0,6.55,NASA POWER & Microclimate Model,32.62
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-02-16 12:30:00,29.01,16.53,22.5,68.06,0.0,3.6,NASA POWER & Microclimate Model,32.39
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-02-17 12:30:00,29.25,16.48,22.37,62.85,0.0,4.18,NASA POWER & Microclimate Model,31.95
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-02-18 12:30:00,29.68,16.37,22.67,60.59,0.0,4.46,NASA POWER & Microclimate Model,32.34
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-02-19 12:30:00,29.64,17.22,23.19,59.81,0.0,3.64,NASA POWER & Microclimate Model,32.13
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-02-20 12:30:00,30.11,17.41,23.29,56.35,0.0,3.38,NASA POWER & Microclimate Model,32.32
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-02-21 12:30:00,31.23,16.08,23.42,61.72,0.0,4.97,NASA POWER & Microclimate Model,35.8
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-02-22 12:30:00,31.8,19.0,24.46,57.27,0.0,3.6,NASA POWER & Microclimate Model,35.84
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-02-23 12:30:00,32.24,20.55,25.72,55.99,0.0,2.77,NASA POWER & Microclimate Model,36.43
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-02-24 12:30:00,31.26,20.16,25.29,60.71,0.02,3.46,NASA POWER & Microclimate Model,35.59
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-02-25 12:30:00,29.04,19.51,23.08,69.16,0.98,4.86,NASA POWER & Microclimate Model,32.66
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-02-26 12:30:00,28.05,19.3,22.93,71.02,1.21,4.54,NASA POWER & Microclimate Model,30.9
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-02-27 12:30:00,28.86,17.74,22.78,70.81,0.38,3.78,NASA POWER & Microclimate Model,32.57
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-02-28 12:30:00,30.59,17.2,23.3,59.1,0.0,3.85,NASA POWER & Microclimate Model,33.79
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-02-29 12:30:00,31.84,18.31,24.3,56.74,0.0,3.67,NASA POWER & Microclimate Model,35.78
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-03-01 12:30:00,32.3,19.23,25.01,57.85,0.0,4.39,NASA POWER & Microclimate Model,37.11
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-03-02 12:30:00,32.24,19.31,25.39,55.92,0.26,4.18,NASA POWER & Microclimate Model,36.41
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-03-03 12:30:00,31.49,20.29,25.64,60.09,12.12,3.6,NASA POWER & Microclimate Model,35.94
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-03-04 12:30:00,30.19,20.15,25.24,68.86,16.52,4.07,NASA POWER & Microclimate Model,35.22
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-03-05 12:30:00,30.87,20.05,25.73,67.54,2.51,4.75,NASA POWER & Microclimate Model,36.54
1,Mirpur-10 Roundabout,23.81,90.37,Asphalt,High,2020-03-06 12:30:00,30.06,20.39,25.48,70.49,11.52,4.43,NASA POWER & Microclimate Model,35.31
