LocationID,LocationName,Latitude,Longitude,Temperature,SurfaceType,NDVI,TrafficDensity,Time,Red,NIR,Calculated_NDVI
1,Sylhet Site 1,24.87426,91.84219,28.0,Asphalt,0.33,Medium,Afternoon,0.1,0.1985074626865672,0.33
2,Sylhet Site 2,24.90097,91.88118,25.8,Vegetation,0.7,Low,Afternoon,0.1,0.5666666666666667,0.7000000000000001
3,Sylhet Site 3,24.8759,91.85695,30.4,Concrete,0.07,High,Afternoon,0.1,0.11505376344086024,0.07000000000000008
4,Sylhet Site 4,24.89082,91.85617,27.4,Bare Soil,0.44,Medium,Afternoon,0.1,0.2571428571428571,0.43999999999999995
5,Sylhet Site 5,24.88688,91.86606,26.9,Bare Soil,0.51,Low,Afternoon,0.1,0.3081632653061225,0.51
6,Sylhet Site 6,24.87688,91.86955,25.7,Vegetation,0.64,Low,Afternoon,0.1,0.45555555555555566,0.64
7,Sylhet Site 7,24.87513,91.8426,27.3,Bare Soil,0.49,Medium,Afternoon,0.1,0.292156862745098,0.48999999999999994
8,Sylhet Site 8,24.92284,91.8872,24.8,Vegetation,0.76,Low,Afternoon,0.1,0.7333333333333334,0.76
9,Sylhet Site 9,24.89131,91.84602,29.1,Asphalt,0.28,Medium,Afternoon,0.1,0.17777777777777778,0.27999999999999997
10,Sylhet Site 10,24.86696,91.89326,27.5,Bare Soil,0.42,Medium,Afternoon,0.1,0.2448275862068965,0.41999999999999993
11,Sylhet Site 11,24.8961,91.8715,28.6,Asphalt,0.24,High,Afternoon,0.1,0.1631578947368421,0.23999999999999996
12,Sylhet Site 12,24.92308,91.88521,30.2,Concrete,0.19,High,Afternoon,0.1,0.14691358024691356,0.18999999999999992
13,Sylhet Site 13,24.92021,91.84401,25.3,Vegetation,0.75,Low,Afternoon,0.1,0.7000000000000001,0.7500000000000001
14,Sylhet Site 14,24.86761,91.85822,30.1,Concrete,0.2,High,Afternoon,0.1,0.15,0.19999999999999996
15,Sylhet Site 15,24.88631,91.85556,28.9,Asphalt,0.34,Medium,Afternoon,0.1,0.20303030303030306,0.34
