LocationName,Latitude,Longitude
Bup,23.840041,90.356985
Mirpur DOHS,23.837618,90.369976
Mirpur-12 Metrorail station,23.826606,90.364136
Mirpur Ceramic Works,23.829668,90.364136
DSCSC Mosque,23.832327,90.361856
Mirpur Ceramic Road,23.828006,90.364146
BRTC Mirpur Bus Depot,23.829032,90.364681
Baitus Salam Jaame Masjid Complex,23.8272778,90.365802
Mirpur-12 Kids Park,23.830892,90.361812
EM Engineering and Builders,23.829845,90.362474
Wapda Colony (Mirpur Cantonment),23.831141,90.360741
Mirpur Cant. Public School and College,23.834756,90.364835
College Avenue Road,23.832734,90.360698
Pallabi Mazedul Islam Model High School,23.825788,90.361466
Pallabi Jheel,23.82923,90.35709
Staff College Lake,23.833785,90.35733
Lake View Eastern Housing,23.842388,90.354981
Efficient Power House,23.840758,90.354528
Crown Machinery Warehouse,23.841017,90.353494
Alubdi,23.835977,90.35146
